output_metric,input_parameter,sensitivity_score,rank,interpretation_note
load_spike_kw,firmware_signature_required,0.2135,7,"Sensitivity scores are approximate simulation-based rankings, not causal proof. Some variables are bundled by security configuration, so correlations may reflect configuration design. Full causal interpretation would require a factorial design or controlled one-factor-at-a-time experiment."
load_spike_kw,recovery_enabled,0.2135,8,"Sensitivity scores are approximate simulation-based rankings, not causal proof. Some variables are bundled by security configuration, so correlations may reflect configuration design. Full causal interpretation would require a factorial design or controlled one-factor-at-a-time experiment."
load_spike_kw,human_approval_delay_minutes,0.2101,9,"Sensitivity scores are approximate simulation-based rankings, not causal proof. Some variables are bundled by security configuration, so correlations may reflect configuration design. Full causal interpretation would require a factorial design or controlled one-factor-at-a-time experiment."
load_spike_kw,attack_temperature,0.1464,10,"Sensitivity scores are approximate simulation-based rankings, not causal proof. Some variables are bundled by security configuration, so correlations may reflect configuration design. Full causal interpretation would require a factorial design or controlled one-factor-at-a-time experiment."
load_spike_kw,availability_rate,0.1363,11,"Sensitivity scores are approximate simulation-based rankings, not causal proof. Some variables are bundled by security configuration, so correlations may reflect configuration design. Full causal interpretation would require a factorial design or controlled one-factor-at-a-time experiment."
load_spike_kw,hvac_power_kw,0.1133,12,"Sensitivity scores are approximate simulation-based rankings, not causal proof. Some variables are bundled by security configuration, so correlations may reflect configuration design. Full causal interpretation would require a factorial design or controlled one-factor-at-a-time experiment."
load_spike_kw,total_operational_friction_score,0.1103,13,"Sensitivity scores are approximate simulation-based rankings, not causal proof. Some variables are bundled by security configuration, so correlations may reflect configuration design. Full causal interpretation would require a factorial design or controlled one-factor-at-a-time experiment."
load_spike_kw,temperature_change_rate,0.0507,14,"Sensitivity scores are approximate simulation-based rankings, not causal proof. Some variables are bundled by security configuration, so correlations may reflect configuration design. Full causal interpretation would require a factorial design or controlled one-factor-at-a-time experiment."
load_spike_kw,ambient_temperature,0.0264,15,"Sensitivity scores are approximate simulation-based rankings, not causal proof. Some variables are bundled by security configuration, so correlations may reflect configuration design. Full causal interpretation would require a factorial design or controlled one-factor-at-a-time experiment."
comfort_loss_degree_minutes,compromised_device_percentage,0.3386,1,"Sensitivity scores are approximate simulation-based rankings, not causal proof. Some variables are bundled by security configuration, so correlations may reflect configuration design. Full causal interpretation would require a factorial design or controlled one-factor-at-a-time experiment."
comfort_loss_degree_minutes,average_command_latency_ms,0.2712,2,"Sensitivity scores are approximate simulation-based rankings, not causal proof. Some variables are bundled by security configuration, so correlations may reflect configuration design. Full causal interpretation would require a factorial design or controlled one-factor-at-a-time experiment."
comfort_loss_degree_minutes,human_approval_threshold,0.2681,3,"Sensitivity scores are approximate simulation-based rankings, not causal proof. Some variables are bundled by security configuration, so correlations may reflect configuration design. Full causal interpretation would require a factorial design or controlled one-factor-at-a-time experiment."
comfort_loss_degree_minutes,quarantine_enabled,0.2646,4,"Sensitivity scores are approximate simulation-based rankings, not causal proof. Some variables are bundled by security configuration, so correlations may reflect configuration design. Full causal interpretation would require a factorial design or controlled one-factor-at-a-time experiment."
comfort_loss_degree_minutes,prompt_filter_strictness,0.2475,5,"Sensitivity scores are approximate simulation-based rankings, not causal proof. Some variables are bundled by security configuration, so correlations may reflect configuration design. Full causal interpretation would require a factorial design or controlled one-factor-at-a-time experiment."
comfort_loss_degree_minutes,firmware_signature_required,0.2416,6,"Sensitivity scores are approximate simulation-based rankings, not causal proof. Some variables are bundled by security configuration, so correlations may reflect configuration design. Full causal interpretation would require a factorial design or controlled one-factor-at-a-time experiment."
comfort_loss_degree_minutes,recovery_enabled,0.2416,7,"Sensitivity scores are approximate simulation-based rankings, not causal proof. Some variables are bundled by security configuration, so correlations may reflect configuration design. Full causal interpretation would require a factorial design or controlled one-factor-at-a-time experiment."
comfort_loss_degree_minutes,false_positive_rate,0.2383,8,"Sensitivity scores are approximate simulation-based rankings, not causal proof. Some variables are bundled by security configuration, so correlations may reflect configuration design. Full causal interpretation would require a factorial design or controlled one-factor-at-a-time experiment."
comfort_loss_degree_minutes,human_approval_delay_minutes,0.2047,9,"Sensitivity scores are approximate simulation-based rankings, not causal proof. Some variables are bundled by security configuration, so correlations may reflect configuration design. Full causal interpretation would require a factorial design or controlled one-factor-at-a-time experiment."
comfort_loss_degree_minutes,availability_rate,0.1758,10,"Sensitivity scores are approximate simulation-based rankings, not causal proof. Some variables are bundled by security configuration, so correlations may reflect configuration design. Full causal interpretation would require a factorial design or controlled one-factor-at-a-time experiment."
comfort_loss_degree_minutes,temperature_change_rate,0.1463,11,"Sensitivity scores are approximate simulation-based rankings, not causal proof. Some variables are bundled by security configuration, so correlations may reflect configuration design. Full causal interpretation would require a factorial design or controlled one-factor-at-a-time experiment."
comfort_loss_degree_minutes,total_operational_friction_score,0.1212,12,"Sensitivity scores are approximate simulation-based rankings, not causal proof. Some variables are bundled by security configuration, so correlations may reflect configuration design. Full causal interpretation would require a factorial design or controlled one-factor-at-a-time experiment."
comfort_loss_degree_minutes,attack_temperature,0.1176,13,"Sensitivity scores are approximate simulation-based rankings, not causal proof. Some variables are bundled by security configuration, so correlations may reflect configuration design. Full causal interpretation would require a factorial design or controlled one-factor-at-a-time experiment."
comfort_loss_degree_minutes,ambient_temperature,0.0376,14,"Sensitivity scores are approximate simulation-based rankings, not causal proof. Some variables are bundled by security configuration, so correlations may reflect configuration design. Full causal interpretation would require a factorial design or controlled one-factor-at-a-time experiment."
comfort_loss_degree_minutes,hvac_power_kw,0.0133,15,"Sensitivity scores are approximate simulation-based rankings, not causal proof. Some variables are bundled by security configuration, so correlations may reflect configuration design. Full causal interpretation would require a factorial design or controlled one-factor-at-a-time experiment."
demand_response_failure_rate,compromised_device_percentage,0.504,1,"Sensitivity scores are approximate simulation-based rankings, not causal proof. Some variables are bundled by security configuration, so correlations may reflect configuration design. Full causal interpretation would require a factorial design or controlled one-factor-at-a-time experiment."
demand_response_failure_rate,average_command_latency_ms,0.376,2,"Sensitivity scores are approximate simulation-based rankings, not causal proof. Some variables are bundled by security configuration, so correlations may reflect configuration design. Full causal interpretation would require a factorial design or controlled one-factor-at-a-time experiment."
demand_response_failure_rate,human_approval_threshold,0.3745,3,"Sensitivity scores are approximate simulation-based rankings, not causal proof. Some variables are bundled by security configuration, so correlations may reflect configuration design. Full causal interpretation would require a factorial design or controlled one-factor-at-a-time experiment."
demand_response_failure_rate,quarantine_enabled,0.3695,4,"Sensitivity scores are approximate simulation-based rankings, not causal proof. Some variables are bundled by security configuration, so correlations may reflect configuration design. Full causal interpretation would require a factorial design or controlled one-factor-at-a-time experiment."
demand_response_failure_rate,prompt_filter_strictness,0.3456,5,"Sensitivity scores are approximate simulation-based rankings, not causal proof. Some variables are bundled by security configuration, so correlations may reflect configuration design. Full causal interpretation would require a factorial design or controlled one-factor-at-a-time experiment."
demand_response_failure_rate,false_positive_rate,0.3327,6,"Sensitivity scores are approximate simulation-based rankings, not causal proof. Some variables are bundled by security configuration, so correlations may reflect configuration design. Full causal interpretation would require a factorial design or controlled one-factor-at-a-time experiment."
demand_response_failure_rate,firmware_signature_required,0.328,7,"Sensitivity scores are approximate simulation-based rankings, not causal proof. Some variables are bundled by security configuration, so correlations may reflect configuration design. Full causal interpretation would require a factorial design or controlled one-factor-at-a-time experiment."
demand_response_failure_rate,recovery_enabled,0.328,8,"Sensitivity scores are approximate simulation-based rankings, not causal proof. Some variables are bundled by security configuration, so correlations may reflect configuration design. Full causal interpretation would require a factorial design or controlled one-factor-at-a-time experiment."
demand_response_failure_rate,availability_rate,0.2898,9,"Sensitivity scores are approximate simulation-based rankings, not causal proof. Some variables are bundled by security configuration, so correlations may reflect configuration design. Full causal interpretation would require a factorial design or controlled one-factor-at-a-time experiment."
demand_response_failure_rate,total_operational_friction_score,0.2882,10,"Sensitivity scores are approximate simulation-based rankings, not causal proof. Some variables are bundled by security configuration, so correlations may reflect configuration design. Full causal interpretation would require a factorial design or controlled one-factor-at-a-time experiment."
demand_response_failure_rate,attack_temperature,0.2264,11,"Sensitivity scores are approximate simulation-based rankings, not causal proof. Some variables are bundled by security configuration, so correlations may reflect configuration design. Full causal interpretation would require a factorial design or controlled one-factor-at-a-time experiment."
demand_response_failure_rate,temperature_change_rate,0.0317,12,"Sensitivity scores are approximate simulation-based rankings, not causal proof. Some variables are bundled by security configuration, so correlations may reflect configuration design. Full causal interpretation would require a factorial design or controlled one-factor-at-a-time experiment."
demand_response_failure_rate,ambient_temperature,0.0229,13,"Sensitivity scores are approximate simulation-based rankings, not causal proof. Some variables are bundled by security configuration, so correlations may reflect configuration design. Full causal interpretation would require a factorial design or controlled one-factor-at-a-time experiment."
demand_response_failure_rate,hvac_power_kw,0.0133,14,"Sensitivity scores are approximate simulation-based rankings, not causal proof. Some variables are bundled by security configuration, so correlations may reflect configuration design. Full causal interpretation would require a factorial design or controlled one-factor-at-a-time experiment."
demand_response_failure_rate,human_approval_delay_minutes,0.0021,15,"Sensitivity scores are approximate simulation-based rankings, not causal proof. Some variables are bundled by security configuration, so correlations may reflect configuration design. Full causal interpretation would require a factorial design or controlled one-factor-at-a-time experiment."
total_operational_friction_score,average_command_latency_ms,0.9465,1,"Sensitivity scores are approximate simulation-based rankings, not causal proof. Some variables are bundled by security configuration, so correlations may reflect configuration design. Full causal interpretation would require a factorial design or controlled one-factor-at-a-time experiment."
total_operational_friction_score,prompt_filter_strictness,0.9142,2,"Sensitivity scores are approximate simulation-based rankings, not causal proof. Some variables are bundled by security configuration, so correlations may reflect configuration design. Full causal interpretation would require a factorial design or controlled one-factor-at-a-time experiment."
total_operational_friction_score,false_positive_rate,0.9032,3,"Sensitivity scores are approximate simulation-based rankings, not causal proof. Some variables are bundled by security configuration, so correlations may reflect configuration design. Full causal interpretation would require a factorial design or controlled one-factor-at-a-time experiment."
total_operational_friction_score,human_approval_threshold,0.8407,4,"Sensitivity scores are approximate simulation-based rankings, not causal proof. Some variables are bundled by security configuration, so correlations may reflect configuration design. Full causal interpretation would require a factorial design or controlled one-factor-at-a-time experiment."
total_operational_friction_score,quarantine_enabled,0.8075,5,"Sensitivity scores are approximate simulation-based rankings, not causal proof. Some variables are bundled by security configuration, so correlations may reflect configuration design. Full causal interpretation would require a factorial design or controlled one-factor-at-a-time experiment."
total_operational_friction_score,firmware_signature_required,0.8045,6,"Sensitivity scores are approximate simulation-based rankings, not causal proof. Some variables are bundled by security configuration, so correlations may reflect configuration design. Full causal interpretation would require a factorial design or controlled one-factor-at-a-time experiment."
total_operational_friction_score,recovery_enabled,0.8045,7,"Sensitivity scores are approximate simulation-based rankings, not causal proof. Some variables are bundled by security configuration, so correlations may reflect configuration design. Full causal interpretation would require a factorial design or controlled one-factor-at-a-time experiment."
total_operational_friction_score,human_approval_delay_minutes,0.723,8,"Sensitivity scores are approximate simulation-based rankings, not causal proof. Some variables are bundled by security configuration, so correlations may reflect configuration design. Full causal interpretation would require a factorial design or controlled one-factor-at-a-time experiment."
total_operational_friction_score,compromised_device_percentage,0.1634,9,"Sensitivity scores are approximate simulation-based rankings, not causal proof. Some variables are bundled by security configuration, so correlations may reflect configuration design. Full causal interpretation would require a factorial design or controlled one-factor-at-a-time experiment."
total_operational_friction_score,availability_rate,0.0768,10,"Sensitivity scores are approximate simulation-based rankings, not causal proof. Some variables are bundled by security configuration, so correlations may reflect configuration design. Full causal interpretation would require a factorial design or controlled one-factor-at-a-time experiment."
total_operational_friction_score,hvac_power_kw,0.0557,11,"Sensitivity scores are approximate simulation-based rankings, not causal proof. Some variables are bundled by security configuration, so correlations may reflect configuration design. Full causal interpretation would require a factorial design or controlled one-factor-at-a-time experiment."
total_operational_friction_score,temperature_change_rate,0.0372,12,"Sensitivity scores are approximate simulation-based rankings, not causal proof. Some variables are bundled by security configuration, so correlations may reflect configuration design. Full causal interpretation would require a factorial design or controlled one-factor-at-a-time experiment."
total_operational_friction_score,attack_temperature,0.0158,13,"Sensitivity scores are approximate simulation-based rankings, not causal proof. Some variables are bundled by security configuration, so correlations may reflect configuration design. Full causal interpretation would require a factorial design or controlled one-factor-at-a-time experiment."
total_operational_friction_score,ambient_temperature,0.0131,14,"Sensitivity scores are approximate simulation-based rankings, not causal proof. Some variables are bundled by security configuration, so correlations may reflect configuration design. Full causal interpretation would require a factorial design or controlled one-factor-at-a-time experiment."
balanced_objective_score,compromised_device_percentage,0.6147,1,"Sensitivity scores are approximate simulation-based rankings, not causal proof. Some variables are bundled by security configuration, so correlations may reflect configuration design. Full causal interpretation would require a factorial design or controlled one-factor-at-a-time experiment."
balanced_objective_score,availability_rate,0.3856,2,"Sensitivity scores are approximate simulation-based rankings, not causal proof. Some variables are bundled by security configuration, so correlations may reflect configuration design. Full causal interpretation would require a factorial design or controlled one-factor-at-a-time experiment."
balanced_objective_score,quarantine_enabled,0.2376,3,"Sensitivity scores are approximate simulation-based rankings, not causal proof. Some variables are bundled by security configuration, so correlations may reflect configuration design. Full causal interpretation would require a factorial design or controlled one-factor-at-a-time experiment."
balanced_objective_score,human_approval_threshold,0.2367,4,"Sensitivity scores are approximate simulation-based rankings, not causal proof. Some variables are bundled by security configuration, so correlations may reflect configuration design. Full causal interpretation would require a factorial design or controlled one-factor-at-a-time experiment."
balanced_objective_score,attack_temperature,0.2326,5,"Sensitivity scores are approximate simulation-based rankings, not causal proof. Some variables are bundled by security configuration, so correlations may reflect configuration design. Full causal interpretation would require a factorial design or controlled one-factor-at-a-time experiment."
balanced_objective_score,average_command_latency_ms,0.2248,6,"Sensitivity scores are approximate simulation-based rankings, not causal proof. Some variables are bundled by security configuration, so correlations may reflect configuration design. Full causal interpretation would require a factorial design or controlled one-factor-at-a-time experiment."
balanced_objective_score,firmware_signature_required,0.2155,7,"Sensitivity scores are approximate simulation-based rankings, not causal proof. Some variables are bundled by security configuration, so correlations may reflect configuration design. Full causal interpretation would require a factorial design or controlled one-factor-at-a-time experiment."
balanced_objective_score,recovery_enabled,0.2155,8,"Sensitivity scores are approximate simulation-based rankings, not causal proof. Some variables are bundled by security configuration, so correlations may reflect configuration design. Full causal interpretation would require a factorial design or controlled one-factor-at-a-time experiment."
balanced_objective_score,prompt_filter_strictness,0.1929,9,"Sensitivity scores are approximate simulation-based rankings, not causal proof. Some variables are bundled by security configuration, so correlations may reflect configuration design. Full causal interpretation would require a factorial design or controlled one-factor-at-a-time experiment."
balanced_objective_score,false_positive_rate,0.1815,10,"Sensitivity scores are approximate simulation-based rankings, not causal proof. Some variables are bundled by security configuration, so correlations may reflect configuration design. Full causal interpretation would require a factorial design or controlled one-factor-at-a-time experiment."
balanced_objective_score,human_approval_delay_minutes,0.1716,11,"Sensitivity scores are approximate simulation-based rankings, not causal proof. Some variables are bundled by security configuration, so correlations may reflect configuration design. Full causal interpretation would require a factorial design or controlled one-factor-at-a-time experiment."
balanced_objective_score,total_operational_friction_score,0.1085,12,"Sensitivity scores are approximate simulation-based rankings, not causal proof. Some variables are bundled by security configuration, so correlations may reflect configuration design. Full causal interpretation would require a factorial design or controlled one-factor-at-a-time experiment."
balanced_objective_score,temperature_change_rate,0.0406,13,"Sensitivity scores are approximate simulation-based rankings, not causal proof. Some variables are bundled by security configuration, so correlations may reflect configuration design. Full causal interpretation would require a factorial design or controlled one-factor-at-a-time experiment."
balanced_objective_score,ambient_temperature,0.0259,14,"Sensitivity scores are approximate simulation-based rankings, not causal proof. Some variables are bundled by security configuration, so correlations may reflect configuration design. Full causal interpretation would require a factorial design or controlled one-factor-at-a-time experiment."
balanced_objective_score,hvac_power_kw,0.0054,15,"Sensitivity scores are approximate simulation-based rankings, not causal proof. Some variables are bundled by security configuration, so correlations may reflect configuration design. Full causal interpretation would require a factorial design or controlled one-factor-at-a-time experiment."
